4.53999e-05	-1
6.44256e-05	-1
9.14242e-05	-1
0.000129737	-1
0.000184106	-1
0.000261259	-1
0.000370744	-1
0.00052611	-1
0.000746586	-1
0.00105946	-1
0.00150344	-1
0.00213348	-1
0.00302755	-1
0.0042963	-1
0.00609675	-1
0.0086517	-1
0.0122773	-1
0.0174224	-1
0.0247235	-1
0.0350844	-1
0.0497871	-1
0.0706512	-1
0.100259	-1
0.142274	-1
0.201897	-1
0.286505	-1
0.40657	-1
0.57695	-1
0.818731	-1
1.16183	-1
1.64872	-1
2.33965	-1
3.32012	-1
4.71147	-1
6.68589	-1
9.48774	-1
13.4637	-1
19.106	-1
27.1126	-1
38.4747	-1
54.5982	-1
77.4785	-1
109.947	-1
156.022	-1
221.406	-1
314.191	-1
445.858	-1
632.702	-1
897.847	-1
1274.11	-1
1808.04	-1
2565.73	-1
3640.95	-1
5166.75	-0.988
7331.97	-0.956
10404.6	-0.722
14764.8	-0.346
20952.2	-0.104
29732.6	0
42192.6	0.008
59874.1	0.016
84965.5	-0.04
120572	0.028
171099	0.012
242802	-0.002
344552	-0.004
488942	-0.04
693842	-0.052
984609	-0.06
1.39723e+06	-0.068
1.98276e+06	-0.07
2.81367e+06	-0.07
3.99279e+06	-0.066
5.66603e+06	-0.056
8.04049e+06	-0.054
1.141e+07	-0.052
1.61915e+07	-0.054
2.29769e+07	-0.052
3.26058e+07	-0.05
4.62698e+07	-0.048
6.566e+07	-0.048
9.31759e+07	-0.046
1.32223e+08	-0.046
1.87633e+08	-0.046
2.66264e+08	-0.046
3.77847e+08	-0.046
5.3619e+08	-0.046
7.6089e+08	-0.046
1.07975e+09	-0.046
1.53225e+09	-0.046
2.17436e+09	-0.044
3.08556e+09	-0.044
4.37862e+09	-0.044
6.21356e+09	-0.044
8.81746e+09	-0.044
1.25126e+10	-0.044
1.77562e+10	-0.044
2.51972e+10	-0.044
3.57566e+10	-0.044
5.0741e+10	-0.044
